Index,Type of architecture,Reference nr in Kierner,Boxology,KautzCategory
1,MLRB,2,T4B-1,NeuroToSymbolic
2,MLRB,13,T4B-2,NeuroToSymbolic
3,MLRB,19,T4B-3,NeuroToSymbolic
4,MLRB,20,T4B-4,NeuroToSymbolic
5,MLRB,25,T4B-5,NeuroToSymbolic
6,MLRB,113,T4B-6,NeuroToSymbolic
7,MLRB,105,T4B-7,NeuroToSymbolic
8,MLRB,26,T4B-8,NeuroToSymbolic
9,MLRB,30,T4B-9,NeuroToSymbolic
10,MLRB,31,T4B-10,NeuroToSymbolic
11,MLRB,36,T4B-11,NeuroToSymbolic
12,MLRB,39,T4B-12,NeuroToSymbolic
13,MLRB,41,T4B-13,NeuroToSymbolic
14,MLRB,60,T4B-14,NeuroToSymbolic
15,RBML,63,T4B-15,NeuroBracketSymbolic
16,MLRB,66,T4B-16,NeuroToSymbolic
17,MLRB,91,T4B-17,NeuroToSymbolic
18,PERML,109,T4B-18,NeuroPlusSymbolic
19,RMLT,4,T4B-19,NeuroSymbolicToNeuro
19,RMLT,4,T4B-19,SymbolicToNeuro
20,RMLT,5,T4B-20,NeuroSymbolicToNeuro
20,RMLT,5,T4B-20,SymbolicToNeuro
21,RMLT,35,T4B-21,NeuroSymbolicToNeuro
21,RMLT,35,T4B-21,SymbolicToNeuro
22,RMLT,90,T4B-22,NeuroSymbolicToNeuro
22,RMLT,90,T4B-22,SymbolicToNeuro
23,RMLT,117,T4B-23,NeuroSymbolicToNeuro
23,RMLT,117,T4B-23,SymbolicToNeuro
24,RBML,29,T4B-24,NeuroBracketSymbolic
25,RBML,84,T4B-25,NeuroBracketSymbolic
26,RBML,23,T4B-26,NeuroBracketSymbolic
27,RBML,95,T4B-27,NeuroBracketSymbolic
28,MLRB,56,T4B-28,NeuroToSymbolic
29,MLRB,74,T4B-29,NeuroToSymbolic
30,RBML,18,T4B-30,NeuroBracketSymbolic
31,RBML,3,T4B-31,NeuroBracketSymbolic
32,RBML,97,T4B-32,NeuroBracketSymbolic
33,RBML,28,T4B-33,NeuroBracketSymbolic
34,RBML,65,T4B-34,NeuroBracketSymbolic
35,RBML,114,T4B-35,NeuroBracketSymbolic
36,REML,7,T4B-36,NeuroEmbeddedSymbolic
37,REML,8,T4B-37,NeuroEmbeddedSymbolic
38,REML,9,T4B-38,NeuroEmbeddedSymbolic
39,REML,11,T4B-39,NeuroEmbeddedSymbolic
40,REML,12,T4B-40,NeuroEmbeddedSymbolic
41,REML,16,T4B-41,NeuroEmbeddedSymbolic
42,REML,17,T4B-42,NeuroEmbeddedSymbolic
43,REML,38,T4B-43,NeuroEmbeddedSymbolic
44,REML,50,T4B-44,NeuroEmbeddedSymbolic
45,REML,51,T4B-45,NeuroEmbeddedSymbolic
46,REML,55,T4B-46,NeuroEmbeddedSymbolic
47,REML,59,T4B-47,NeuroEmbeddedSymbolic
48,REML,61,T4B-48,NeuroEmbeddedSymbolic
49,REML,62,T4B-49,NeuroEmbeddedSymbolic
50,REML,67,T4B-50,NeuroEmbeddedSymbolic
51,REML,69,T4B-51,NeuroEmbeddedSymbolic
52,REML,71,T4B-52,NeuroEmbeddedSymbolic
53,REML,76,T4B-53,NeuroEmbeddedSymbolic
54,REML,77,T4B-54,NeuroEmbeddedSymbolic
55,REML,82,T4B-55,NeuroEmbeddedSymbolic
56,REML,83,T4B-56,NeuroEmbeddedSymbolic
57,REML,85,T4B-57,NeuroEmbeddedSymbolic
58,REML,88,T4B-58,NeuroEmbeddedSymbolic
59,REML,93,T4B-59,NeuroEmbeddedSymbolic
60,REML,94,T4B-60,NeuroEmbeddedSymbolic
61,REML,96,T4B-61,NeuroEmbeddedSymbolic
62,REML,98,T4B-62,NeuroEmbeddedSymbolic
63,REML,100,T4B-63,NeuroEmbeddedSymbolic
64,REML,101,T4B-64,NeuroEmbeddedSymbolic
65,REML,106,T4B-65,NeuroEmbeddedSymbolic
66,REML,111,T4B-66,NeuroEmbeddedSymbolic
67,REML,112,T4B-67,NeuroEmbeddedSymbolic
68,REML,118,T4B-68,NeuroEmbeddedSymbolic
69,REML,119,T4B-69,NeuroEmbeddedSymbolic
